description,id
"  Utvecklare Business Intelligence till Swedavia IT                           IT Leverans håller samman alla IT-leveranser och ansvarar för en stabil IT-drift, de externa leverantörsavtalen, IT-utvecklingsresurser samt verkar för en ökad användning av IT. IT på Swedavia är drivet av verksamhetsnytta och ska på ett effektivt sätt bidra till utvecklingen av alla tjänster.                                      Swedavia IT driver ett större förändringsprogram med målsättningen att ge verksamheten det stöd de behöver ur ett IT-perspektiv. Detta program består i dagsläget av flertalet delprojekt som alla leder till effektiviseringar och förbättringar i interna processer och ökar möjligheterna att skapa verksamhetsnytta.              Vi söker nu en person med praktisk områdeskunskap inom IT och Business Intelligence.                Dina arbetsuppgifter                           Som utvecklare och serviceledare kommer du att ha det övergripande tekniska ansvaret för att utveckla Business Intelligence på ett sätt som stödjer verksamhetens långsiktiga affärsmål. Detta innebär att, i en stödjande roll tillsammans med våra externa partners, utveckla, implementera och förvalta programområdets system kopplat till Business Intelligence.               Som utvecklare/serviceledare medverkar du i förstudier/projekt samt är tekniskt ansvarig för de olika leveransområdenas system. Du samverkar med kravställare inom den egna verksamheten samt med våra leverantörer för att säkerställa drift och systemnära förvaltning. Vidare ingår det i tjänsten att aktivt arbeta med utveckling och effektivisering av systemstöd genom att kravställa vidareutveckling och nya lösningar, kritiskt granska lösningsförslag från våra leverantörer samt följa upp leveranser. Du ansvarar även för livscykelhanteringen av system och tjänster inom kompetensområdet.               Din profil                           Du som söker har relevant eftergymnasial utbildning och ett antal års bred erfarenhet av IT-branschen och verksamhetsnära IT. Du har bra kunskap om ITIL och ETL samt erfarenhet av leveransstyrning. Vidare har du dels kompetens som är unik för kompetensområdet Business Intelligence och förståelse för de system som ingår i området och dels generell kompetens inom systemutveckling för specifika system och/eller systemförvaltning generellt. Kompetens inom krav, design (arkitektur), utveckling, och/eller test är viktig för att passa i rollen.              Du har teknisk kompetens inom T-SQL och Microsoft BI produkterna SQL-server, SSIS, SSAS och SSRS. Det är också önskvärt om du har grundläggande kunskaper om Qlikview samt kompetens att administrera SharePoint.               För att göra rätt saker även under tidspress och skapa resultat är det viktigt att du är flexibel och att du har god prioriteringsförmåga. Då serviceledare arbetar med affärskritiska system med stor verksamhetspåverkan är noggrannhet en viktig egenskap för att lyckas. Vidare är du kommunikativ, lyhörd, uppmärksam och har förmågan att på ett representativt sätt bemöta parter både internt och externt. Du har även goda kunskaper i svenska och engelska i tal och skrift.               Vi erbjuder                           På våra flygplatser möter vi hela världen. Det är en unik arbetsplats med flygpuls och atmosfär. Vi ser att olikheter och mångfald berikar, och ser det som en förutsättning för vår framtida utveckling som hållbart företag. På www.swedavia.se/jobb kan du läsa mer om hur det är att jobba hos oss.                                     Anställning och kontakt                            Säkerhet har hög prioritet för oss på Swedavia. Vi genomför därför en säkerhetsprövning innan beslut om anställning. Mer information om vad säkerhetsprövning innebär hittar du på www.sakerhetspolisen.se/sakerhetsskydd/sakerhetsprovning.html               Tjänsten är tillsvidare med placeringsort Stockholm-Arlanda. Har du frågor om tjänsten vänligen kontakta Jenny Laurell, rekryteringsspecialist, telefon 073 867 77 78 eller  e-post jenny.laurell@swedavia.se.                                        Välkommen med din ansökan så snart som möjligt, då urval och intervjuer sker löpande, dock senast 12 september 2017  ",db2d8dbb3cad681d845015aaa813f8994f12fdc2
"Jobbeskrivning För kunds räkning söker Uniflex truckförare för att arbeta med orderplock hos vår kund i Landvetter.     Arbetstiderna är förlagda måndag-fredag, 06:00-14:30 eller 14:30-23:00. Som lagerarbetare arbetar du ständig dag eller ständig kväll.  För att vara aktuell för tjänsten ska du ha truckkort A 1-4  och B 1-4.     Vi söker dig som har tidigare erfarenhet av orderplock och som vet vikten av tempo i kombination med noggrannhet.     Krav:   • Truckkort med behörighet för B4 (höglyftande plocktruck)  • Erfarenhet av orderplock    Meriterande:  • Erfarenhet av orderplock med handscanner    Personliga egenskaper   • Noggrann  • Förmåga att hålla högt tempo     Uniflex är ett auktoriserat bemanningsföretag som arbetar med uthyrning och rekrytering av personal inom yrkesområdena industri, lager, bygg, el, administration, försäljning och kundservice. Uniflex är noterat på Nasdaq Stockholm, Small Cap, och finns i Sverige, Norge, Finland och Tyskland. I Sverige är vi drygt 4 000 anställda och finns på ett 40 tal orter. Vi är medlemmar i Almega Bemanningsföretagen och Sveriges byggindustrier och har kollektivavtal med LO, Byggnads, Unionen och Akademikerförbunden. Uniflex är kvalitéts- miljö- och arbetsmiljöcertfierade enligt ISO 9001, ISO 14001 samt OHSAS 18001.    På Uniflex ser vi våra medarbetare som vår viktigaste tillgång och därför erbjuder vi friskvårdsbidrag och andra förmåner till våra anställda. Vi söker ständigt efter nya kollegor som arbetar i enighet med våra ledstjärnor affärsfokus, engagemang, glädje och ansvarstagande.  ",fcb4b3c4a5d3cf7870b2dd687b7403e3ad33c8b6
"Jobbeskrivning Är du student och vill dryga ut studentkassan?  Vi söker flera studenter som vill jobba extra inom lager som  truckförare, containerlossare och som sorterare på paketbana!    du behöver inte ha tidigare erfarenhet av lagerarbete, utan har du rätt driv så tror vi att vi kan finna en roll till dig.   Meriterande är om du har truckkort, samt vana av truckkörning.     Hos oss och våra kunder har du chansen att lära dig flera olika moment och utvecklas. Du har även möjligheten att få testa olika typer av verksamheter och finna just den du trivs bäst i. Som student har du möjlighet att vara hos en och samma kund under hela din studietid!    Vi på Jönköpingskontoret vill kunna skapa en god relation till alla våra medarbetare och det är viktigt för oss att kunna ha en rak och ärlig dialog. Vi är ute hos våra kunder kontinuerligt, så du behöver inte alltid ringa utan kan ta frågor och funderingar med oss på plats. Våra kunder ligger i Jönköpingsområdet och de flesta går att nå lätt med kollektivtrafik.      Personliga egenskaper För att passa som truckförare bör du vara:    •Energisk  •Mångsidig  •Metodisk  •Noggrann    Som konsult hos Uniflex är du inte bara representant för dig själv du är också vårt ansikte utåt, vi ser gärna därför att du:    •Gillar att skapa goda relationer  •Fungerar bra i team såväl som med självständigt arbete  •Kan ta ansvar för ditt arbete och ha viljan att uppnå uppsatta mål hos våra kunder.     Tjänsterna kommer att tillsättas löpande, du är välkommen med din ansökan redan idag.        Uniflex är ett auktoriserat bemanningsföretag som arbetar med uthyrning och rekrytering av personal inom yrkesområdena industri, lager, bygg, el, administration, försäljning och kundservice. Uniflex är noterat på Nasdaq Stockholm, Small Cap, och finns i Sverige, Norge, Finland och Tyskland. I Sverige är vi drygt 4 000 anställda och finns på ett 40 tal orter. Vi är medlemmar i Almega Bemanningsföretagen och Sveriges byggindustrier och har kollektivavtal med LO, Byggnads, Unionen och Akademikerförbunden. Uniflex är kvalitéts- miljö- och arbetsmiljöcertifierade enligt ISO 9001, ISO 14001 samt OHSAS 18001.    På Uniflex ser vi våra medarbetare som vår viktigaste tillgång och därför erbjuder vi   •Kollektivavtal   •Tjänstepension  •Friskvårdsbidrag och andra personalförmåner  •Försäkringar  •Marknadsmässig lön   •Karriär och utveckling     Vi söker ständigt efter nya kollegor som arbetar i enighet med våra ledstjärnor affärsfokus, engagemang, glädje och ansvarstagande.    ",cc07fed4752fd6bb060e1fa90fcc4c843bb67e05
"Arbetsuppgifter Inför kommande uppdrag söker vi ett antal erfarna servicetekniker för uppdrag i Stockholm. Vi söker dig som har tidigare erfarenhet av besiktning, reparationer och felsökning av större industrimaskiner och eller Fordon. Har du en erfarenhet och/eller utbildning som servicetekniker? Sök då på denna annons och anmäl ditt intresse!  Formell kompetens - Teknisk grundutbildning   • Erfarenhet som servicetekniker (meriterande)   • B-Körkort      Personliga egenskaper Vi ser gärna att du gillar att utvecklas och ser glädjen i att göra ett välutfört arbete. Som person tror vi att du motiveras av utmaningar och att lösa varierade problem.    Anställningsform/omfattning/tjänstgöringsort Visstidsanställning/ tillsvidare/ Stockholm    Tillträdesdag Enligt överenskommelse  Lernia är vägen framåt Lernia är en av Sveriges ledande kompetenspartners inom bemanning, utbildning och omställning. Våra tjänster hjälper individer och kunder inom det privata näringslivet och den offentliga sektorn att stärka sin konkurrenskraft, vilket i sin tur bidrar till en bättre fungerande arbetsmarknad och en ökad integration. Vi finns på fler än 100 orter i Sverige och är kvalitets- och miljöcertifierade.  ",fa58823229f8079cd9c6c920060e1736bb4d75f4
"                                                                                                          Brinner du för att jobba inom stålindustrin och vill ta chansen att lära känna ett spännande företag som ser medarbetarna som sin viktigaste resurs? Då ska du se hit!                                                                                               Om företaget                                                                              BE Group Sverige ingår i den börsnoterade koncernen BE Group, ett ledande handels- och servicebolag med ett brett sortiment inom stål, rostfritt stål och aluminium. De erbjuder lagerförsäljning, produktionsservice till kunder inom framförallt bygg- och verkstadsindustrin. BE Group Sverige omsatte 1,84 mdr SEK under 2015 och har ca 280 anställda. Läs mer om dem på deras hemsida www.begroup.se.                                                                                               Dina arbetsuppgifter                                                                              Vi söker just nu operatörer till vår kund BE Group i Norrköping. Deras driftanläggning i Norrköping omfattar lager, produktion och distribution. Enheten är den största inom den svenska verksamheten och sysselsätter ca 140 personer. Du kommer att tillhöra deras skär- och bearbetningscenter som består av ca 50 medarbetare.   Som operatör arbetar du i produktionsdelen med gas- och plasmaskärning. Arbetet innefattar programmering och skärning av större plåtar. Rotation i arbetsuppgifterna är en viktig del och du kommer därför även arbeta med efterbearbetning så som slipning och blästring. Arbetsuppgifterna planeras mycket utifrån varje individ vilket ställer krav på din planeringsförmåga.   Tjänsten kommer innebära tunga lyft och även i övrigt mycket fysiskt tungt arbete, det är därför viktigt att du är van att arbeta med kroppen.                                                                                               Din profil                                                                              För att passa som operatör ser vi att du trivs med att arbeta inom industrin. Du har ett starkt eget driv och planerar dina arbetsuppgifter väl. Du är inte rädd för att hugga i eller få ”skit under naglarna”. Då detta är en verkstadsindustri kan miljön i lokalerna upplevas som dammig och högljudd. Arbetsgruppen präglas av mycket gemenskap och lagarbete, vi tror därför att du ser interaktionen med andra människor som något positivt och tycker om att samarbeta. Du kommer även arbeta mycket självständigt och en bra förmåga att ta egna initiativ är därför ett krav.   Krav för tjänsten är  - Truckkort A+B - Tekniskt/Mekaniskt intresse  Det är även meriterande om du har erfarenhet och utbildning för att arbeta med CNC-styrda maskiner samt innehar traverskort.  Arbetstiderna kommer vara förlagda under 2-skift, du behöver alltså kunna arbeta både förmiddag- samt eftermiddagstider.  Tjänsten kommer tillsättas omgåenden så rekrytering sker löpande.                                                                                               Ansökningsförfarande                                                                              Verkar detta vara något för dig? Sök tjänsten på vår hemsida www.industrikompetens.se.  Vid frågor angående tjänsten kontakta ansvarig rekryterare, Amanda Ljungholm, på amanda.ljungholm@industrikompetens.se eller 011-199470                                                                                               Om oss                                                                              Industrikompetens och Skill jobbar med kort- och långsiktig kompetensförsörjning. Vårt tjänsteutbud består av Rekrytering, Bemanning och Omställning och våra kunder finns främst inom industri och IT. På uppdrag av våra ägare är vi djupt engagerade i utbildningar och kompetensförsörjningsfrågor och fungerar som en naturlig samlingspunkt för våra kund- och ägarföretag genom våra olika nätverk",0833c991a46e7e62e1e5c74e1384f737c8c54cbe
"Om företaget Nu söker vi en duktig montör till vår kund i Tumba i Stockholm. Här kommer du att arbeta med montering av maskiner inom mekanik, hydraulik, pneumatik samt el. Till din hjälp använder du ritningar och elschema och du kommer att arbeta i ett team. Vi söker fler montörer till januari men några av tjänsterna kan komma att tillsättas tidigare. Företaget använder Lean och taktad montering. Arbetet passar den som vill utvecklas inom avancerad montering och har som mål att bli en expert inom sitt yrke. Arbetet håller högt tempo vilket gör att du bör trivas med att ständigt ha saker att göra.  Arbetsuppgifter Arbetet innebär huvudsakligen montering, robotarna du tillverkar har tusentals komponenter vilket innebär att du ständigt kommer att lära dig nya moment inom el, mekanik och hydraulik. Du kommer att vara en del av ett montörs team i en kultur som präglas av högt i tak och raka rör. Produktionscheferna på arbetsplatsen är närvarande och mycket kunniga inom sitt område.       Formell kompetens Utbildning och/eller kunskap inom montering eller annan industribakgrund.  Din bakgrund Är du teknisk duktig eller en van montör tveka inte att söka tjänsten. Vi ser ambition och vilja som stora ingredienser och det kan väga upp mot en tunnare erfarenhet.  Personliga egenskaper För att lyckas bra i denna tjänst ser vi gärna att du är självgående, engagerad och har hög arbetsmoral. Du är noggrann och alltid mån att göra ett väl utfört arbete.  Du har lätt för att samarbeta och kommunicera med andra.     Anställningsform/omfattning/tjänstgöringsort Visstid/heltid/dagtid/Tumba  Tillträdesdag Enligt överenskommelse  Information Heltid/Dagtid  Lernia är vägen framåt Lernia är en av Sveriges ledande kompetenspartners inom utbildning, bemanning och omställning. Vi utvecklar människor, företag och organisationer med rätt kompetenslösningar i arbetslivets och arbetsmarknadens alla skeden. Vi bidrar till en bättre matchning på arbetsmarknaden och ser till att fler människor kommer i egenförsörjning och att fler företag och organisationer kan stärka sin konkurrenskraft.  ",122a058960e735705189906cdfbcf75cb78eda5e
 Closing date:   31-maj-2017       Location:   Karlskrona       Contact:   Richard Herbertsson      richard.herbertsson@industrikompetens.se / 0455-10401      Björn Erland      bjorn.erland@industrikompetens.se / 0455-10439      ,be6a8f4d60fb596bd3eefcf796adb6f29da14f9c
 Closing date:   31-april-2017       Location:   Karlskrona       Contact:   Richard Herbertsson      richard.herbertsson@industrikompetens.se / 0455-10401      Björn Erland      bjorn.erland@industrikompetens.se / 0455-10439      ,717403dd724fa3c13cae33cd19d32e4fafbd046d
"Jobbeskrivning Uniflex söker för kunds räkning en mattläggare till en kund som producerar modulbyggnationer.   Den huvudsakliga arbetsuppgiften är främst mattläggning av plastmattor.    Arbetstider: Dagtid  Start: Omgående  Personliga egenskaper Du är självgående, stresstålig och gillar ett högt tempo. Det är viktigt att du är arbetsglad och har ett stort driv i att utföra dina arbetsuppgifter inom utsatta tidsramar med en noggrannhet.  Du är socialt kompetent och kan arbeta lika bra självständigt som i grupp.  Meriterande om du har Heta arbeten.  Du ska ha erfarenhet av mattläggning av något slag, viss upplärning kan ske på plats så du måste vara lättlärd.       Uniflex är ett auktoriserat bemanningsföretag som arbetar med uthyrning och rekrytering av personal inom yrkesområdena industri, lager, bygg, el, administration, försäljning och kundservice. Uniflex är noterat på Nasdaq Stockholm, Small Cap, och finns i Sverige, Norge, Finland och Tyskland. I Sverige är vi drygt 4 000 anställda och finns på ett 40 tal orter. Vi är medlemmar i Almega Bemanningsföretagen och Sveriges byggindustrier och har kollektivavtal med LO, Byggnads, Unionen och Akademikerförbunden. Uniflex är kvalitéts- miljö- och arbetsmiljöcertfierade enligt ISO 9001, ISO 14001 samt OHSAS 18001.    På Uniflex ser vi våra medarbetare som vår viktigaste tillgång och därför erbjuder vi friskvårdsbidrag och andra förmåner till våra anställda. Vi söker ständigt efter nya kollegor som arbetar i enighet med våra ledstjärnor affärsfokus, engagemang, glädje och ansvarstagande.  ",ba94d4aba0a1daea7b5c6e8c9318dea174bac8eb
"Jobbeskrivning Uniflex söker snicakare för träarbetare till hustillverkning inomhus i fabriksmiljö. Du kommer att arbeta med produktion av module efter ritningar, vilket innebär att du kan bli behjälplig vid flera olika moment. För rätt person är det möjlighet till anställning direkt hos kund.     Det är meriterande om du har:   • Erfarenhet av byggnation   • Relevant praktisk utbildning  • Tidigare arbetat med lufttrycksverktyg  • Ritningslära  • Körkort och bil    Arbetstid: Dagtid måndag-fredag  Omfattning: Heltid   Anställningsform: Tjänsten avser en 6 månaders visstidsanställning, för rätt person finns goda möjligheter till anställning direkt hos kund.   Start: Enligt överenskommelse   Lön : Vi tillämpar GFL (genomsnittligt förstjänstläge)  Personliga egenskaper Som person är du:   • Social   • Händig  • Lättlärd  Du förstår vikten av att göra ett bra arbete, hålla tider och skapa bra arbetsklimat för dig och dina kollegor. Det är viktigt att du gillar tempo och är stresstiålig.          Uniflex är ett auktoriserat bemanningsföretag som arbetar med uthyrning och rekrytering av personal inom yrkesområdena industri, lager, bygg, el, administration, försäljning och kundservice. Uniflex är noterat på Nasdaq Stockholm, Small Cap, och finns i Sverige, Norge, Finland och Tyskland. I Sverige är vi drygt 4 000 anställda och finns på ett 40 tal orter. Vi är medlemmar i Almega Bemanningsföretagen och Sveriges byggindustrier och har kollektivavtal med LO, Byggnads, Unionen och Akademikerförbunden. Uniflex är kvalitéts- miljö- och arbetsmiljöcertfierade enligt ISO 9001, ISO 14001 samt OHSAS 18001.    På Uniflex ser vi våra medarbetare som vår viktigaste tillgång och därför erbjuder vi friskvårdsbidrag och andra förmåner till våra anställda. Vi söker ständigt efter nya kollegor som arbetar i enighet med våra ledstjärnor affärsfokus, engagemang, glädje och ansvarstagande.  ",0ade9d0d0e9406545722f2144a16211419a5140f
